English,Manobo,Kagan,Cebuano
abandon,paguyow(M),pagpanaw(K),biyaan(C)
abate,paguyod(M),pagpatagbi(K),pagkunhod(C)
abbreviate,pagyupot(M),pagpakagpa(K),pagmubo(C)
abdicate,paguyow-tu-gahom(M),pagpanaw-sang-kagaga(K),pagbiya-sa-gahom(C)
abduct,pagtaban(M),pagtangag(K),pagdagit(C)
abolish,paglingat(M),pagkamang(K),pagwag-tang(C)
abort,napurotan(M),pagkamang-ng-kabdos(K),pagkuha-sa-gisabak(C)
abound,abunda(M),yagakadaieg(K),nagkadaghan(C)
above,nakatungtung(M),sa-babaw(K),sa-ibabaw(C)
abrasion,garas(M),karas(K),garas(C)
abreast,durungan(M),mag-agad(K),manag-ubay(C)
abridge,tampuran(M),pagputok(K),pagputol(C)
abroad,abrod(M),malugwa-sa-lain-sa-banwa(K),sa-laing-nasod(C)
abrupt,taligmaan(M),kalit(K),kalit(C)
absence,wa-abot(M),pagkawa-ansan(K),kawala-diha(C)
absent-minded,makalilingawon(M),munong(K),alimtanon(C)
absent,wa-abot(M),pagkawa-sa-lugar(K),pagkawala(C)
absorb,paglamod(M),pagsup(K),paghunob(C)
abstain,pagbalibad(M),di-maupod(K),dili-pag-apil(C)
abundance,abunda(M),madaig(K),ang-pagkadaghan(C)
abundant,abunda(M),madaig(K),abunda(C)
abuse,abuso(M),pagpasipa(K),pang-abusar(C)
accede,pagsugot(M),pag-agad(K),pagsugot(C)
accelerate,pagpaspas(M),pagpakallug(K),pagpapaspsas(C)
accept,pagdawat(M),tarima(K),dawat(C)
acceptance,pag-uyon(M),katariman(K),kadawatan(C)
access,pag-agi(M),pagsud(K),pagsulod(C)
accident,disgrasya(M),disgrasya(K),disgrasya(C)
accidental,wa-tuyoa(M),wa-tuyowa(K),sa-dili-tinuyo(C)
accomodate,pagdawat(M),pagbutang(K),pagpahiluna(C)
accompany,pagduma(M),pag-agad(K),pagduyog(C)
accomplish,paghimo(M),pag-ubos(K),pagtuman(C)
accomplishment,nainang(M),ikaymowan(K),kahimoan(C)
accord,poagsinabot(M),pagkakaisa(K),pagsinabtanay(C)
accountant,magiihap(M),magbibilang(K),mangingihap(C)
accumulate,pagtigom(M),pagtipon(K),pagtigom(C)
accuracy,sakto(M),kainsktuwan(K),kaigoan(C)
accurate,insakto(M),magunawa(K),tukma(C)
accusation,takon(M),yaga-inanginang-ng-bawo(K),akusar(C)
accuse,pagtakon(M),pag-umbad(K),pagsumbong(C)
accustom,pamatasan(M),pag-anad(K),pag-anad(C)
asthma,asthma(M),ubak(K),hubak(C)
baby,dugsak(M),iso(K),bata(C)
back,likod(M),likod(K),likod(C)
backward,tamanan(M),pagatras(K),paatras(C)
bad,dautan(M),matay-na-utaw(K),daotan(C)
badge,tsapa(M),tsapa(K),tsapa(C)
badly,ngil-ad(M),yamatay-yang-paras(K),ngil-ad(C)
baffle,samokan(M),iliboglibog(K),paglibog(C)
bag,puyopuyo(M),kapipis(K),sako(C)
baggage,mga-da(M),mga-dada(K),karga(C)
bail,buligan(M),pasarig(K),piyansa(C)
bake,pagluto-sa-hudnoan(M),pagluto-sang-ornowan(K),paghurno(C)
baker,mga-inanganan-tu-pan(M),magpapan(K),panadero(C)
bakery,baligyaanan-tu-pan(M),pananan(K),panaderia(C)
balance,aangay(M),itungan(K),pagtimbang(C)
ball,bola(M),bola(K),bola(C)
